key,value,date
Video_Games,4.015354819,01/01/18
Video_Games,4.417649224,01/02/18
Video_Games,4.643567263,01/03/18
Video_Games,3.490337921,01/04/18
Video_Games,5.246529899,01/05/18
Video_Games,6.719745807,01/06/18
Video_Games,5.795785869,01/07/18
Video_Games,3.28188642,01/08/18
Video_Games,3.49764818,01/09/18
Video_Games,3.948009438,01/10/18
Video_Games,4.215918964,01/11/18
Video_Games,2.540202154,01/12/18
Video_Games,5.010424587,01/13/18
Video_Games,6.066085887,01/14/18
Video_Games,4.745809096,01/15/18
Video_Games,3.625050159,01/16/18
Video_Games,3.629248002,01/17/18
Video_Games,4.916148949,01/18/18
Video_Games,3.45918393,01/19/18
Video_Games,5.152953887,01/20/18
Video_Games,7.195600048,01/21/18
Video_Games,3.906247012,01/22/18
Video_Games,3.503341514,01/23/18
Video_Games,2.651244691,01/24/18
Video_Games,4.653069946,01/25/18
Video_Games,3.438756928,01/26/18
Video_Games,4.990955904,01/27/18
Video_Games,6.782854155,01/28/18
Video_Games,5.181418175,01/29/18
Video_Games,2.751667164,01/30/18
HW,4.109642464,01/01/18
HW,5.133590382,01/02/18
HW,5.460174486,01/03/18
HW,5.504789927,01/04/18
HW,2.315337296,01/05/18
HW,2.367512524,01/06/18
HW,3.252650301,01/07/18
HW,5.415135655,01/08/18
HW,2.726649284,01/09/18
HW,4.55460894,01/10/18
HW,5.769280125,01/11/18
HW,2.560828072,01/12/18
HW,1.582777322,01/13/18
HW,2.264054921,01/14/18
HW,3.31525722,01/15/18
HW,2.674135887,01/16/18
HW,5.117692036,01/17/18
HW,3.131632729,01/18/18
HW,2.435899352,01/19/18
HW,1.502826849,01/20/18
HW,4.49208103,01/21/18
HW,5.557195208,01/22/18
HW,3.042075463,01/23/18
HW,2.516202874,01/24/18
HW,2.833545513,01/25/18
HW,5.247581701,01/26/18
HW,2.714685666,01/27/18
HW,1.644668129,01/28/18
HW,2.4494745,01/29/18
HW,5.326116771,01/30/18
Coding,2.493032058,01/01/18
Coding,1.962562249,01/02/18
Coding,2.083634651,01/03/18
Coding,1.655489307,01/04/18
Coding,1.961002637,01/05/18
Coding,2.322048801,01/06/18
Coding,2.323022252,01/07/18
Coding,1.818401109,01/08/18
Coding,2.257983901,01/09/18
Coding,1.519234351,01/10/18
Coding,2.242954988,01/11/18
Coding,1.596197433,01/12/18
Coding,2.767045599,01/13/18
Coding,2.980152155,01/14/18
Coding,1.926882417,01/15/18
Coding,1.60191439,01/16/18
Coding,2.288722857,01/17/18
Coding,2.072563579,01/18/18
Coding,1.794463288,01/19/18
Coding,2.186145252,01/20/18
Coding,2.437988444,01/21/18
Coding,2.224395645,01/22/18
Coding,1.925158554,01/23/18
Coding,2.000337052,01/24/18
Coding,1.517155084,01/25/18
Coding,2.396198649,01/26/18
Coding,2.345441068,01/27/18
Coding,2.09771629,01/28/18
Coding,2.170402813,01/29/18
Coding,1.583679969,01/30/18
Sleeping,7.43723355,01/01/18
Sleeping,6.988963383,01/02/18
Sleeping,7.300078947,01/03/18
Sleeping,7.179692353,01/04/18
Sleeping,7.082584377,01/05/18
Sleeping,8.38600709,01/06/18
Sleeping,8.660535188,01/07/18
Sleeping,8.302025631,01/08/18
Sleeping,8.293622734,01/09/18
Sleeping,6.558241531,01/10/18
Sleeping,7.382288308,01/11/18
Sleeping,7.25383448,01/12/18
Sleeping,8.58705064,01/13/18
Sleeping,8.694456096,01/14/18
Sleeping,7.227167857,01/15/18
Sleeping,7.744793563,01/16/18
Sleeping,6.749089894,01/17/18
Sleeping,8.359395191,01/18/18
Sleeping,7.951343093,01/19/18
Sleeping,9.693141685,01/20/18
Sleeping,8.651337286,01/21/18
Sleeping,7.122562086,01/22/18
Sleeping,8.442422561,01/23/18
Sleeping,6.97038492,01/24/18
Sleeping,7.258928067,01/25/18
Sleeping,6.688977606,01/26/18
Sleeping,9.066714395,01/27/18
Sleeping,9.725621362,01/28/18
Sleeping,8.332045603,01/29/18
Sleeping,6.797091862,01/30/18
Eating,1.369665584,01/01/18
Eating,1.47680645,01/02/18
Eating,1.272348107,01/03/18
Eating,1.186187362,01/04/18
Eating,1.423324812,01/05/18
Eating,1.306645642,01/06/18
Eating,1.483079325,01/07/18
Eating,1.265578111,01/08/18
Eating,1.083472184,01/09/18
Eating,1.499502802,01/10/18
Eating,1.305217414,01/11/18
Eating,1.393187019,01/12/18
Eating,1.160188349,01/13/18
Eating,1.260244973,01/14/18
Eating,1.137032881,01/15/18
Eating,1.465422903,01/16/18
Eating,1.140904078,01/17/18
Eating,1.036289198,01/18/18
Eating,1.244188932,01/19/18
Eating,1.006549376,01/20/18
Eating,1.014652629,01/21/18
Eating,1.243950305,01/22/18
Eating,1.320429001,01/23/18
Eating,1.494773882,01/24/18
Eating,1.143109892,01/25/18
Eating,1.18411267,01/26/18
Eating,1.096463514,01/27/18
Eating,1.139142906,01/28/18
Eating,1.029999968,01/29/18
Eating,1.101952986,01/30/18
Other,4.575071525,01/01/18
Other,4.020428312,01/02/18
Other,3.240196545,01/03/18
Other,4.98350313,01/04/18
Other,5.971220979,01/05/18
Other,2.898040136,01/06/18
Other,2.484927066,01/07/18
Other,3.916973072,01/08/18
Other,6.140623717,01/09/18
Other,5.920402938,01/10/18
Other,3.084340201,01/11/18
Other,8.655750842,01/12/18
Other,4.892513504,01/13/18
Other,2.735005969,01/14/18
Other,5.647850529,01/15/18
Other,6.888683097,01/16/18
Other,5.074343133,01/17/18
Other,4.483970355,01/18/18
Other,7.114921405,01/19/18
Other,4.458382952,01/20/18
Other,0.2083405627,01/21/18
Other,3.945649744,01/22/18
Other,5.766572908,01/23/18
Other,8.367056581,01/24/18
Other,6.594191499,01/25/18
Other,5.044372445,01/26/18
Other,3.785739454,01/27/18
Other,2.609997158,01/28/18
Other,4.836658942,01/29/18
Other,6.439491249,01/30/18
